,Manufacturer,Category,Screen Size,Screen,CPU,RAM,Storage,GPU,Operating System,Weight,Price
0,Apple,Ultrabook,13.3,2560x1600,Intel Core i5,8,128GB SSD,Intel Iris,macOS,1.37,133969
1,Apple,Ultrabook,13.3,1440x900,Intel Core i5,8,128GB Flash Storage,Intel HD,macOS,1.34,89894
2,HP,Notebook,15.6,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,No OS,1.86,57500
3,Apple,Ultrabook,15.4,2880x1800,Intel Core i7,16,512GB SSD,AMD Radeon,macOS,1.83,253745
4,Apple,Ultrabook,13.3,2560x1600,Intel Core i5,8,256GB SSD,Intel Iris,macOS,1.37,180360
5,Acer,Notebook,15.6,1366x768,AMD A9 Series,4,500GB HDD,AMD Radeon,Windows,2.1,40000
6,Apple,Ultrabook,15.4,2880x1800,Intel Core i7,16,256GB Flash Storage,Intel Iris,Mac OS,2.04,213997
7,Apple,Ultrabook,13.3,1440x900,Intel Core i5,8,256GB Flash Storage,Intel HD,macOS,1.34,115870
8,Asus,Ultrabook,14.0,1920x1080,Intel Core i7,16,512GB SSD,Nvidia GeForce,Windows,1.3,149500
9,Acer,Ultrabook,14.0,1920x1080,Intel Core i5,8,256GB SSD,Intel UHD,Windows,1.6,77000
10,HP,Notebook,15.6,1366x768,Intel Core i5,4,500GB HDD,Intel HD,No OS,1.86,39390
11,HP,Notebook,15.6,1920x1080,Intel Core i3,4,500GB HDD,Intel HD,No OS,1.86,34499
12,Apple,Ultrabook,15.4,2880x1800,Intel Core i7,16,256GB SSD,AMD Radeon,macOS,1.83,243997
13,Dell,Notebook,15.6,1920x1080,Intel Core i3,4,256GB SSD,AMD Radeon,Windows,2.2,49890
14,Apple,Ultrabook,12.0,2304x1440,Intel Core M,8,256GB SSD,Intel HD,macOS,0.92,126240
15,Apple,Ultrabook,13.3,2560x1600,Intel Core i5,8,256GB SSD,Intel Iris,macOS,1.37,151855
16,Dell,Notebook,15.6,1920x1080,Intel Core i7,8,256GB SSD,AMD Radeon,Windows,2.2,74500
17,Apple,Ultrabook,15.4,2880x1800,Intel Core i7,16,512GB SSD,AMD Radeon,macOS,1.83,285800
18,Lenovo,Notebook,15.6,1920x1080,Intel Core i3,8,1TB HDD,Nvidia GeForce,No OS,2.2,49900
19,Dell,Ultrabook,13.3,1920x1080,Intel Core i5,8,128GB SSD,Intel UHD,Windows,1.22,97900
20,Asus,Netbook,11.6,1366x768,Intel Atom x5,2,32GB Flash Storage,Intel HD,Windows,0.98,19190
21,Lenovo,Gaming,15.6,1920x1080,Intel Core i5,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows,2.5,99900
22,HP,Notebook,15.6,1366x768,AMD E Series,4,500GB HDD,AMD Radeon,No OS,1.86,25800
23,Dell,2 in 1 Convertible,13.3,1920x1080,Intel Core i5,8,256GB SSD,Intel UHD,Windows,1.62,81900
24,HP,Ultrabook,15.6,1920x1080,Intel Core i7,8,256GB SSD,Intel HD,Windows,1.91,65900
25,Dell,Notebook,15.6,1366x768,Intel Core i3,4,1TB HDD,Intel HD,Windows,2.3,41864
26,Apple,Ultrabook,13.3,1440x900,Intel Core i5,8,128GB Flash Storage,Intel HD,Mac OS,1.35,109900
27,Dell,Notebook,15.6,1920x1080,Intel Core i5,8,256GB SSD,AMD Radeon,Windows,2.2,80000
28,Dell,Ultrabook,15.6,1920x1080,Intel Core i7,8,256GB SSD +  256GB SSD,Intel UHD,Windows,1.88,129800
29,HP,Notebook,17.3,1920x1080,Intel Core i5,8,1TB HDD,Nvidia GeForce,Windows,2.5,89600
30,Chuwi,Notebook,15.6,1920x1080,Intel Atom x5,4,64GB Flash Storage,Intel HD,Windows,1.89,24499
31,Asus,Notebook,14.0,1366x768,AMD E Series,2,32GB Flash Storage,AMD Radeon,Windows,1.65,19900
32,HP,Notebook,17.3,1920x1080,AMD A6 Series,4,500GB HDD,AMD Radeon,Windows,2.71,43900
33,Dell,Ultrabook,13.3,3200x1800,Intel Core i7,16,512GB SSD,Intel UHD,Windows,1.2,186900
34,Apple,Ultrabook,13.3,1440x900,Intel Core i5,8,256GB Flash Storage,Intel HD,Mac OS,1.35,99800
35,Lenovo,Notebook,14.0,1366x768,Intel Celeron Dual,4,64GB Flash Storage,Intel HD,Windows,1.44,24900
36,Acer,Notebook,15.6,1366x768,Intel Core i3,4,1TB HDD,Intel HD,Linux,2.1,36700
37,Dell,Notebook,17.3,1920x1080,Intel Core i5,8,128GB SSD +  1TB HDD,AMD Radeon,Windows,2.8,97900
38,HP,Notebook,15.6,1366x768,Intel Core i5,4,1TB HDD,Intel HD,Windows,1.86,48869
39,HP,Notebook,15.6,1920x1080,Intel Core i5,8,256GB SSD,Nvidia GeForce,Windows,2.1,87900
40,Asus,Notebook,15.6,1920x1080,Intel Core i3,4,1TB HDD,Intel HD,Linux,2.0,38900
41,Dell,Gaming,15.6,1920x1080,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows,2.65,149900
42,Asus,Notebook,15.6,1366x768,Intel Core i5,8,1TB HDD,Nvidia GeForce,Linux,2.3,52299
43,Acer,Notebook,15.6,1920x1080,Intel Core i5,4,256GB SSD,Intel UHD,Windows,2.2,68200
44,Dell,2 in 1 Convertible,17.3,1920x1080,Intel Core i5,12,1TB HDD,Nvidia GeForce,Windows,2.77,99900
45,Apple,Ultrabook,13.3,2560x1600,Intel Core i5,8,256GB SSD,Intel Iris,macOS,1.37,141900
46,Lenovo,Notebook,15.6,1366x768,Intel Core i3,4,128GB SSD,Intel HD,No OS,2.2,36900
47,Asus,Gaming,17.3,1920x1080,AMD Ryzen 1700,8,256GB SSD +  1TB HDD,AMD Radeon,Windows,3.2,129900
48,Dell,Notebook,15.6,1920x1080,Intel Core i5,4,256GB SSD,AMD Radeon,Windows,2.3,63900
49,Asus,Notebook,17.3,1366x768,Intel Pentium Quad,4,1TB HDD,Nvidia GeForce,Windows,2.8,46600
50,Lenovo,2 in 1 Convertible,10.1,1920x1200,Intel Atom x5,4,64GB Flash Storage,Intel HD,Android,0.69,31900
51,Acer,Notebook,15.6,1920x1080,Intel Core i7,8,256GB SSD,Nvidia GeForce,Windows,2.2,84100
52,HP,Notebook,15.6,1920x1080,AMD A6 Series,4,256GB SSD,AMD Radeon,Windows,1.86,39849
53,HP,Notebook,13.3,1920x1080,Intel Core i7,8,512GB SSD,Intel UHD,Windows,1.49,110300
54,Acer,Notebook,15.6,1366x768,Intel Core i3,4,1TB HDD,Intel HD,Windows,2.4,38400
55,Dell,Notebook,15.6,1920x1080,Intel Core i7,8,256GB SSD,AMD Radeon,Windows,2.13,76780
56,HP,Notebook,15.6,1920x1080,Intel Core i3,4,128GB SSD,Intel HD,Windows,1.91,43900
57,Asus,Notebook,15.6,1366x768,Intel Core i5,4,256GB SSD,Intel HD,Windows,2.0,58619
58,MSI,Gaming,17.3,1920x1080,Intel Core i7,16,256GB SSD +  2TB HDD,Nvidia GeForce,Windows,2.43,244900
59,Asus,Notebook,15.6,1920x1080,Intel Core i3,4,256GB SSD,Intel HD,Linux,2.0,41500
60,Dell,Notebook,17.3,1920x1080,Intel Core i7,16,256GB SSD +  2TB HDD,AMD Radeon,Windows,2.8,129900
61,Dell,Ultrabook,14.0,1920x1080,Intel Core i5,8,256GB SSD,Intel UHD,Windows,1.7,87900
62,Lenovo,Notebook,14.0,1920x1080,Intel Core i3,8,256GB SSD,Intel HD,No OS,1.7,59900
63,Asus,Notebook,14.0,1920x1080,Intel Core i5,8,256GB SSD,Intel UHD,Windows,1.4,94100
64,HP,Notebook,15.6,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows,1.86,69000
65,Asus,Ultrabook,15.6,1920x1080,Intel Core i7,16,512GB SSD,Nvidia GeForce,Windows,1.8,198300
66,HP,Notebook,15.6,1366x768,Intel Core i3,4,500GB HDD,AMD Radeon,Windows,1.86,43869
67,HP,Notebook,14.0,1366x768,Intel Celeron Dual,4,32GB SSD,Intel HD,Windows,1.44,22900
68,Lenovo,Notebook,15.6,1920x1080,Intel Core i5,4,1TB HDD,Intel HD,Windows,1.9,54900
69,Asus,Gaming,17.3,1920x1080,Intel Core i7,12,1TB HDD,Nvidia GeForce,Linux,3.0,94900
70,Microsoft,Ultrabook,13.5,2256x1504,Intel Core i5,4,128GB SSD,Intel HD,Windows,1.252,108900
71,Dell,Ultrabook,13.3,1920x1080,Intel Core i7,8,256GB SSD,AMD Radeon,Windows,1.4,95500
72,Dell,Notebook,15.6,1920x1080,Intel Core i7,8,256GB SSD,AMD Radeon,Windows,2.2,87000
73,MSI,Gaming,17.3,1920x1080,Intel Core i5,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows,2.7,109500
74,Acer,Notebook,14.0,1366x768,Intel Core i3,8,1TB HDD,Intel HD,Windows,2.1,38900
75,Asus,Gaming,15.6,1920x1080,Intel Core i7,8,1TB HDD,Nvidia GeForce,Windows,2.2,94900
76,Lenovo,Notebook,15.6,1920x1080,Intel Core i5,8,2TB HDD,Intel HD,No OS,2.2,51900
77,Dell,Notebook,15.6,1920x1080,Intel Core i7,8,128GB SSD +  1TB HDD,Intel UHD,Windows,2.02,85500
78,Acer,Notebook,15.6,1920x1080,Intel Core i3,4,1TB HDD,Nvidia GeForce,Windows,2.2,53000
79,HP,Notebook,17.3,1920x1080,Intel Core i5,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows,2.5,97700
80,Dell,Ultrabook,15.6,1920x1080,Intel Core i5,8,256GB SSD,Intel UHD,Windows,1.88,109616
81,Apple,Ultrabook,12.0,2304x1440,Intel Core i5,8,512GB SSD,Intel HD,macOS,0.92,151000
82,HP,Notebook,14.0,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows,1.63,86000
83,Lenovo,Notebook,15.6,1920x1080,AMD A6 Series,4,128GB SSD,AMD R4,Windows,2.2,39900
84,Acer,Notebook,15.6,1366x768,AMD A9 Series,4,1TB HDD,AMD Radeon,Windows,2.1,39500
85,Dell,Gaming,15.6,1920x1080,Intel Core i7,16,128GB SSD +  1TB HDD,Nvidia GeForce,Windows,2.65,134900
86,HP,Ultrabook,15.6,1920x1080,Intel Core i7,8,256GB SSD,Nvidia GeForce,Windows,1.83,69900
87,HP,Notebook,15.6,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows,1.96,59899
88,Asus,Gaming,15.6,1920x1080,Intel Core i7,16,128GB SSD +  1TB HDD,Nvidia GeForce,Windows,2.2,144900
89,Dell,Ultrabook,13.3,1920x1080,Intel Core i7,8,256GB SSD,Intel UHD,Windows,1.21,164900
90,Asus,Gaming,15.6,1920x1080,AMD FX 9830P,8,1TB HDD,AMD Radeon,Windows,2.45,69900
91,Acer,Notebook,15.6,1920x1080,Intel Core i7,8,1TB HDD,Nvidia GeForce,Windows,2.2,68900
92,HP,Notebook,13.3,1920x1080,Intel Core i7,16,512GB SSD,Intel UHD,Windows,1.49,119700
93,Dell,Gaming,15.6,1920x1080,Intel Core i5,8,256GB SSD,Nvidia GeForce,Windows,2.65,119500
94,Asus,Ultrabook,14.0,1920x1080,Intel Core i7,8,256GB SSD,Intel HD,Windows,1.25,104900
95,Acer,2 in 1 Convertible,13.3,1920x1080,Intel Core i5,8,256GB SSD,Intel UHD,Windows,1.5,84700
96,Dell,Notebook,15.6,1920x1080,Intel Core i7,8,1TB HDD,AMD Radeon,Linux,2.2,59990
97,Dell,Notebook,15.6,1920x1080,Intel Core i3,4,256GB SSD,AMD Radeon,Linux,2.2,48500
98,Asus,Notebook,15.6,1920x1080,Intel Core i3,6,256GB SSD,Nvidia GeForce,Windows,2.0,57700
99,HP,Gaming,15.6,1920x1080,Intel Core i7,12,128GB SSD +  1TB HDD,Nvidia GeForce,Windows,2.62,124900
100,HP,Notebook,15.6,1920x1080,Intel Core i7,8,256GB SSD,AMD Radeon,Windows,1.91,71900
101,HP,Notebook,15.6,1920x1080,AMD E Series,4,500GB HDD,AMD Radeon,Windows,2.1,34900
102,Dell,Notebook,15.6,1920x1080,Intel Core i5,8,1TB HDD,AMD Radeon,Linux,2.2,64700
103,HP,Ultrabook,13.3,1920x1080,Intel Core i7,8,256GB SSD,Nvidia GeForce,Windows,1.38,111900
104,Microsoft,Ultrabook,13.5,2256x1504,Intel Core i5,8,256GB SSD,Intel HD,Windows,1.252,134000
105,HP,Notebook,14.0,1920x1080,Intel Core i5,6,256GB SSD,Nvidia GeForce,Windows,1.58,65900
106,Lenovo,Notebook,15.6,1920x1080,Intel Core i3,4,1TB HDD,Intel HD,Windows,1.85,41490
107,Asus,Ultrabook,14.0,1920x1080,Intel Core i7,8,256GB SSD,Nvidia GeForce,Windows,1.3,119300
108,MSI,Gaming,15.6,1920x1080,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows,2.2,129900
109,Lenovo,Notebook,14.0,1920x1080,Intel Core i7,8,256GB SSD,Intel HD,Windows,1.58,148000
110,Asus,Ultrabook,15.6,1920x1080,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows,1.5,126200
111,Dell,Ultrabook,13.3,3200x1800,Intel Core i7,8,256GB SSD,Intel Iris,Windows,1.23,137900
112,Lenovo,2 in 1 Convertible,13.3,1920x1080,Intel Core i5,8,256GB SSD,Intel HD,Windows,1.37,139900
113,HP,Notebook,14.0,1366x768,Intel Core i5,4,500GB HDD,Intel UHD,Windows,1.63,72200
114,Dell,Ultrabook,13.3,1920x1080,Intel Core i5,8,256GB SSD,Intel UHD,Windows,1.21,162900
115,HP,2 in 1 Convertible,13.3,1920x1080,Intel Core i5,8,256GB SSD,Intel UHD,Windows,1.26,139899
116,HP,Notebook,14.0,1920x1080,Intel Core i7,8,512GB SSD,Intel UHD,Windows,1.63,108400
117,Dell,Notebook,15.6,1920x1080,Intel Core i7,8,256GB SSD +  1TB HDD,Nvidia GeForce,Windows,2.16,113033
118,Asus,Notebook,17.3,1920x1080,Intel Core i3,4,1TB HDD,Nvidia GeForce,Windows,2.0,56400
119,Asus,Notebook,15.6,1920x1080,Intel Core i7,8,256GB SSD,Nvidia GeForce,Windows,1.7,111800
120,Acer,Notebook,15.6,1920x1080,Intel Core i3,6,1TB HDD,Intel HD,Windows,2.1,47900
121,MSI,Gaming,15.6,1920x1080,Intel Core i7,16,256GB SSD +  2TB HDD,Nvidia GeForce,Windows,1.8,224150
122,Lenovo,Notebook,15.6,1920x1080,Intel Core i5,8,256GB SSD,Nvidia GeForce,No OS,2.2,62900
123,HP,Notebook,17.3,1920x1080,Intel Core i7,16,512GB SSD,Nvidia GeForce,Windows,2.5,127100
