Manufacturer,Category,Screen Size,Screen,CPU,RAM,Storage,GPU,Operating System,Weight,Price,Sales
HP,Notebook,15.6,1920x1080,AMD A10 Series,6,128GB SSD,AMD Radeon,Windows,1.91,56890,11300
Asus,Notebook,15.6,1920x1080,AMD A10 Series,4,128GB SSD +  1TB HDD,AMD Radeon,Windows,2.2,57500,32964
HP,Notebook,17.3,1920x1080,AMD A10 Series,6,2TB HDD,AMD Radeon,Windows,2.65,56900,16680
HP,Notebook,17.3,1920x1080,AMD A10 Series,6,2TB HDD,AMD Radeon,Windows,2.71,65501,31610
Acer,Notebook,15.6,1366x768,AMD A10 Series,8,1TB HDD,AMD Radeon,Windows,2.2,57900,28521
Lenovo,Notebook,15.6,1920x1080,AMD A10 Series,6,1TB HDD,AMD Radeon,Windows,2.4,49900,27669
Acer,Notebook,15.6,1366x768,AMD A12 Series,8,256GB SSD,AMD Radeon,Windows,2.2,65900,30036
Lenovo,Notebook,15.6,1920x1080,AMD A12 Series,6,256GB SSD,AMD Radeon,Windows,2.2,54900,29233
Lenovo,Notebook,15.6,1920x1080,AMD A12 Series,6,256GB SSD,AMD Radeon,Windows,2.2,59757,29284
HP,Notebook,15.6,1366x768,AMD A12 Series,8,2TB HDD,AMD Radeon,Windows,2.04,62900,13732
Lenovo,Notebook,15.6,1366x768,AMD A12 Series,8,1TB HDD,AMD Radeon,Windows,2.2,42900,16209
HP,Notebook,15.6,1920x1080,AMD A12 Series,6,1TB HDD,AMD Radeon,Windows,2.1,52900,27314
Lenovo,Notebook,15.6,1920x1080,AMD A12 Series,12,512GB SSD,AMD Radeon,Windows,2.2,94900,16930
Lenovo,Notebook,15.6,1920x1080,AMD A12 Series,12,2TB HDD,AMD Radeon,Windows,2.2,89900,27744
Lenovo,Notebook,17.3,1600x900,AMD A4 Series,4,500GB HDD,AMD Radeon,Windows,2.8,37900,36128
Lenovo,Notebook,15.6,1920x1080,AMD A6 Series,4,128GB SSD,AMD R4,Windows,2.2,39900,37976
Lenovo,Notebook,15.6,1366x768,AMD A6 Series,4,500GB HDD,AMD Radeon,No OS,2.2,30900,28398
HP,Notebook,15.6,1920x1080,AMD A6 Series,4,1TB HDD,AMD Radeon,Windows,2.1,39800,15303
HP,Notebook,15.6,1366x768,AMD A6 Series,4,500GB HDD,AMD Radeon,Windows,1.86,39900,38266
Lenovo,Notebook,15.6,1366x768,AMD A6 Series,4,500GB HDD,AMD Radeon,Windows,2.19,29800,12448
Lenovo,Notebook,17.3,1600x900,AMD A6 Series,8,1TB HDD,AMD Radeon,Windows,2.8,51900,25154
HP,Notebook,17.3,1920x1080,AMD A6 Series,4,500GB HDD,AMD Radeon,Windows,2.71,43900,31539
HP,Notebook,15.6,1920x1080,AMD A6 Series,4,256GB SSD,AMD Radeon,Windows,1.91,47889,16294
HP,Notebook,15.6,1366x768,AMD A6 Series,8,128GB SSD,AMD Radeon,Windows,1.91,44590,31203
HP,Notebook,15.6,1366x768,AMD A6 Series,4,256GB SSD,AMD Radeon,Windows,1.86,36900,17505
HP,Notebook,15.6,1920x1080,AMD A6 Series,4,256GB SSD,AMD Radeon,Windows,1.86,39849,38071
Acer,Notebook,15.6,1366x768,AMD A8 Series,8,1TB HDD,AMD Radeon,Windows,2.4,44900,21016
Lenovo,Notebook,17.3,1600x900,AMD A8 Series,4,128GB SSD,AMD Radeon,Windows,2.6,48900,37016
Acer,Notebook,15.6,1920x1080,AMD A8 Series,8,256GB SSD,AMD Radeon,Windows,2.23,46900,13184
Acer,Notebook,15.6,1366x768,AMD A8 Series,4,500GB HDD,AMD Radeon,Windows,2.4,38700,12957
HP,Notebook,15.6,1920x1080,AMD A9 Series,6,1TB Hybrid,AMD Radeon,Windows,2.04,54999,22778
HP,Notebook,15.6,1920x1080,AMD A9 Series,4,256GB SSD,AMD Radeon,Windows,1.91,48899,30628
Acer,Notebook,15.6,1366x768,AMD A9 Series,4,128GB SSD,AMD Radeon,Windows,2.1,42600,28696
HP,Notebook,17,1600x900,AMD A9 Series,8,1TB HDD,AMD Radeon,Windows,2.6,52090,35147
